0	 1	 0.821	 0.128	 0.013	 0.731	 1	 0.862	 0.480	 0.369	 0.813
0.01	 0.975	 0.793	 0.143	 0.013	 0.786	 0.985	 0.829	 0.490	 0.370	 0.852
0.02	 0.975	 0.741	 0.147	 0.012	 0.854	 0.985	 0.784	 0.489	 0.373	 0.903
0.03	 1	 0.788	 0.151	 0.012	 0.838	 1	 0.825	 0.490	 0.372	 0.892
0.04	 1	 0.735	 0.152	 0.012	 0.887	 1	 0.782	 0.490	 0.372	 0.932
0.05	 1	 0.717	 0.151	 0.013	 0.907	 1	 0.765	 0.490	 0.372	 0.943
0.06	 0.992	 0.699	 0.155	 0.013	 0.859	 0.995	 0.749	 0.491	 0.372	 0.917
0.07	 0.986	 0.727	 0.157	 0.012	 0.933	 0.990	 0.774	 0.491	 0.375	 0.960
0.08	 0.971	 0.710	 0.158	 0.013	 0.822	 0.981	 0.760	 0.492	 0.374	 0.893
0.09	 0.986	 0.667	 0.163	 0.013	 0.942	 0.991	 0.724	 0.493	 0.374	 0.965
0.1	 0.942	 0.746	 0.162	 0.012	 0.912	 0.962	 0.788	 0.491	 0.376	 0.946
0.11	 0.859	 0.719	 0.163	 0.012	 0.879	 0.911	 0.765	 0.492	 0.372	 0.926
0.12	 0.816	 0.691	 0.166	 0.012	 0.857	 0.882	 0.743	 0.489	 0.379	 0.910
0.13	 0.688	 0.789	 0.170	 0.012	 0.617	 0.800	 0.824	 0.488	 0.379	 0.754
0.14	 0.642	 0.712	 0.176	 0.012	 0.548	 0.772	 0.759	 0.484	 0.380	 0.713
0.15	 0.387	 0.695	 0.182	 0.012	 0.519	 0.612	 0.744	 0.482	 0.379	 0.696
0.16	 0.330	 0.738	 0.177	 0.012	 0.400	 0.577	 0.780	 0.483	 0.383	 0.620
0.17	 0.232	 0.751	 0.188	 0.012	 0.306	 0.521	 0.791	 0.481	 0.379	 0.566
0.18	 0.209	 0.778	 0.189	 0.011	 0.226	 0.507	 0.816	 0.477	 0.381	 0.507
0.19	 0.151	 0.769	 0.205	 0.012	 0.191	 0.477	 0.809	 0.477	 0.380	 0.491
0.2	 0.147	 0.702	 0.199	 0.013	 0.172	 0.478	 0.750	 0.476	 0.377	 0.487
0.21	 0.134	 0.738	 0.197	 0.011	 0.159	 0.473	 0.780	 0.475	 0.384	 0.479
0.22	 0.124	 0.736	 0.201	 0.012	 0.138	 0.469	 0.781	 0.478	 0.381	 0.473
0.23	 0.104	 0.731	 0.203	 0.012	 0.131	 0.459	 0.777	 0.477	 0.380	 0.470
0.24	 0.104	 0.775	 0.190	 0.012	 0.119	 0.465	 0.812	 0.475	 0.380	 0.466
0.25	 0.092	 0.791	 0.193	 0.012	 0.109	 0.461	 0.828	 0.476	 0.387	 0.462
0.26	 0.088	 0.768	 0.182	 0.011	 0.098	 0.464	 0.807	 0.472	 0.385	 0.464
0.27	 0.081	 0.762	 0.187	 0.012	 0.099	 0.462	 0.802	 0.476	 0.384	 0.462
0.28	 0.074	 0.808	 0.172	 0.011	 0.086	 0.460	 0.847	 0.472	 0.388	 0.458
0.29	 0.063	 0.773	 0.168	 0.011	 0.082	 0.461	 0.825	 0.470	 0.389	 0.461
0.3	 0.067	 0.762	 0.151	 0.012	 0.086	 0.466	 0.827	 0.468	 0.386	 0.466
0.31	 0.068	 0.739	 0.141	 0.012	 0.073	 0.463	 0.827	 0.465	 0.389	 0.459
0.32	 0.059	 0.740	 0.121	 0.012	 0.061	 0.461	 0.846	 0.460	 0.388	 0.451
0.33	 0.053	 0.612	 0.111	 0.011	 0.060	 0.458	 0.782	 0.456	 0.388	 0.458
0.34	 0.052	 0.527	 0.095	 0.011	 0.059	 0.461	 0.756	 0.450	 0.388	 0.458
0.35	 0.039	 0.477	 0.079	 0.012	 0.051	 0.454	 0.732	 0.445	 0.389	 0.454
0.36	 0.041	 0.352	 0.075	 0.011	 0.051	 0.460	 0.674	 0.445	 0.389	 0.452
0.37	 0.037	 0.276	 0.064	 0.011	 0.039	 0.454	 0.629	 0.439	 0.394	 0.447
0.38	 0.034	 0.209	 0.048	 0.011	 0.036	 0.453	 0.585	 0.429	 0.396	 0.446
0.39	 0.027	 0.144	 0.036	 0.011	 0.030	 0.446	 0.530	 0.428	 0.396	 0.438
0.4	 0.028	 0.107	 0.027	 0.011	 0.026	 0.445	 0.513	 0.423	 0.392	 0.434
0.41	 0.020	 0.079	 0.023	 0.011	 0.024	 0.436	 0.487	 0.413	 0.391	 0.434
0.42	 0.018	 0.059	 0.017	 0.009	 0.018	 0.432	 0.466	 0.411	 0.392	 0.427
0.43	 0.018	 0.043	 0.012	 0.009	 0.015	 0.426	 0.453	 0.406	 0.389	 0.416
0.44	 0.012	 0.031	 0.011	 0.009	 0.015	 0.416	 0.439	 0.402	 0.391	 0.416
0.45	 0.012	 0.019	 0.012	 0.009	 0.014	 0.417	 0.420	 0.403	 0.392	 0.413
0.46	 0.010	 0.017	 0.011	 0.009	 0.011	 0.408	 0.415	 0.409	 0.396	 0.402
0.47	 0.012	 0.015	 0.010	 0.011	 0.012	 0.403	 0.411	 0.401	 0.399	 0.406
0.48	 0.012	 0.013	 0.011	 0.011	 0.011	 0.406	 0.409	 0.404	 0.400	 0.399
0.49	 0.010	 0.012	 0.011	 0.010	 0.012	 0.392	 0.403	 0.401	 0.394	 0.397
